IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
154.17.235.47,48246,443,true,LAX,North America,US,Los Angeles,140,16.67
154.17.239.70,51736,443,true,LAX,North America,US,Los Angeles,141,15.86
154.26.189.50,20442,443,true,LAX,North America,US,Los Angeles,151,15.68
154.17.236.67,41082,443,true,LAX,North America,US,Los Angeles,140,15.51
154.26.189.23,56118,443,true,LAX,North America,US,Los Angeles,148,15.00
154.26.188.31,443,443,true,LAX,North America,US,Los Angeles,147,14.94
154.17.238.60,443,443,true,LAX,North America,US,Los Angeles,141,14.77
34.111.103.7,80,80,false,HKG,Asia Pacific,HK,Hong Kong,50,13.67
154.17.21.37,11557,443,true,LAX,North America,US,Los Angeles,149,13.29
154.17.239.70,15572,443,true,LAX,North America,US,Los Angeles,143,12.97
38.47.118.166,11001,443,true,LAX,North America,US,Los Angeles,139,12.18
154.17.7.113,9028,8080,false,LAX,North America,US,Los Angeles,155,12.06
207.60.50.239,443,443,true,LAX,North America,US,Los Angeles,139,12.02
154.17.231.21,36388,443,true,LAX,North America,US,Los Angeles,144,11.85
154.21.91.168,11090,443,true,LAX,North America,US,Los Angeles,153,11.72
154.17.10.113,12286,443,true,LAX,North America,US,Los Angeles,150,11.69
154.17.2.31,55943,443,true,LAX,North America,US,Los Angeles,146,11.40
154.21.94.99,45067,443,true,LAX,North America,US,Los Angeles,151,11.18
154.17.22.88,30861,443,true,LAX,North America,US,Los Angeles,151,11.02
154.9.241.153,23119,443,true,LAX,North America,US,Los Angeles,164,10.82
154.9.241.153,38978,443,true,LAX,North America,US,Los Angeles,165,10.81
38.60.89.176,47827,443,true,LAX,North America,US,Los Angeles,142,10.72
23.165.248.41,43327,443,true,LAX,North America,US,Los Angeles,164,10.60
34.102.66.201,443,443,true,LAX,North America,US,Los Angeles,195,10.55
206.119.79.138,27784,443,true,LAX,North America,US,Los Angeles,171,10.52
91.149.239.234,443,443,true,LAX,North America,US,Los Angeles,206,10.18
154.31.157.12,443,443,true,LAX,North America,US,Los Angeles,175,10.03
154.17.7.113,9017,8080,false,LAX,North America,US,Los Angeles,149,10.01
38.47.117.77,443,443,true,LAX,North America,US,Los Angeles,152,9.61
154.9.241.153,36212,443,true,LAX,North America,US,Los Angeles,161,9.48
91.149.239.122,443,443,true,LAX,North America,US,Los Angeles,217,9.47
38.207.186.44,25718,443,true,LAX,North America,US,Los Angeles,141,9.19
38.49.38.194,24440,443,true,LAX,North America,US,Los Angeles,206,9.08
206.119.79.138,33884,443,true,LAX,North America,US,Los Angeles,168,9.05
154.9.241.153,13951,443,true,LAX,North America,US,Los Angeles,162,9.03
154.23.244.23,55892,443,true,LAX,North America,US,Los Angeles,172,8.87
141.147.172.204,443,443,true,LAX,North America,US,Los Angeles,300,8.86
154.17.7.113,50008,8080,false,LAX,North America,US,Los Angeles,145,8.74
206.119.79.235,30056,443,true,LAX,North America,US,Los Angeles,170,8.72
158.179.190.116,443,443,true,LAX,North America,US,Los Angeles,273,8.41
154.26.180.54,587,443,true,LAX,North America,US,Los Angeles,150,8.21
207.60.50.79,52861,443,true,LAX,North America,US,Los Angeles,141,8.19
91.149.239.70,443,443,true,LAX,North America,US,Los Angeles,226,8.17
38.150.7.227,19742,443,true,LAX,North America,US,Los Angeles,189,8.07
154.17.7.113,9003,8080,false,LAX,North America,US,Los Angeles,144,7.98
154.17.12.26,8447,443,true,LAX,North America,US,Los Angeles,145,7.94
154.17.7.113,9015,8080,false,LAX,North America,US,Los Angeles,148,7.50
154.17.30.195,54863,443,true,LAX,North America,US,Los Angeles,147,7.39
199.180.155.172,443,443,true,LAX,North America,US,Los Angeles,210,7.03
38.60.109.167,19562,0,true,LAX,North America,US,Los Angeles,191,6.93
131.186.23.6,443,443,true,LAX,North America,US,Los Angeles,204,6.93
132.226.228.201,443,443,true,LAX,North America,US,Los Angeles,338,6.89
141.147.185.230,443,443,true,LAX,North America,US,Los Angeles,282,6.82
107.175.224.66,55684,443,true,LAX,North America,US,Los Angeles,190,6.75
154.201.89.184,34814,443,true,LAX,North America,US,Los Angeles,140,6.49
206.119.79.247,443,443,true,LAX,North America,US,Los Angeles,160,6.27
38.148.249.118,32956,443,true,LAX,North America,US,Los Angeles,192,6.27
154.9.237.182,20005,443,true,LAX,North America,US,Los Angeles,147,6.25
154.26.181.45,31682,443,true,LAX,North America,US,Los Angeles,153,6.00
154.21.90.176,43144,443,true,LAX,North America,US,Los Angeles,151,5.99
45.140.88.214,4443,443,true,LAX,North America,US,Los Angeles,158,5.79
154.17.231.175,56666,443,true,LAX,North America,US,Los Angeles,139,5.74
103.99.115.232,1443,443,true,LAX,North America,US,Los Angeles,170,5.39
154.208.9.253,30727,443,true,LAX,North America,US,Los Angeles,197,5.18
154.17.224.10,57496,443,true,LAX,North America,US,Los Angeles,141,4.97
154.17.12.26,8443,443,true,LAX,North America,US,Los Angeles,146,4.57
23.169.184.125,25526,443,true,LAX,North America,US,Los Angeles,145,4.53
154.17.30.48,18889,443,true,LAX,North America,US,Los Angeles,149,4.45
35.236.11.184,443,443,true,LAX,North America,US,Los Angeles,218,4.38
154.21.93.3,44729,443,true,LAX,North America,US,Los Angeles,149,4.31
45.140.88.163,37258,443,true,LAX,North America,US,Los Angeles,168,4.15
154.23.241.9,13725,443,true,LAX,North America,US,Los Angeles,172,4.06
154.64.225.139,30371,443,true,LAX,North America,US,Los Angeles,152,4.04
64.110.74.2,443,443,true,LAX,North America,US,Los Angeles,294,3.98
138.3.214.215,443,443,true,LAX,North America,US,Los Angeles,173,3.80
185.201.226.246,19582,443,true,LAX,North America,US,Los Angeles,175,3.80
154.26.186.25,587,443,true,LAX,North America,US,Los Angeles,150,3.71
185.201.227.192,22799,443,true,LAX,North America,US,Los Angeles,179,3.53
38.207.182.137,56546,443,true,LAX,North America,US,Los Angeles,144,3.39
154.201.73.177,10070,443,true,LAX,North America,US,Los Angeles,144,3.25
212.103.62.226,14856,443,true,LAX,North America,US,Los Angeles,186,3.08
131.186.21.98,443,443,true,LAX,North America,US,Los Angeles,299,2.82
107.150.103.52,15622,443,true,LAX,North America,US,Los Angeles,197,2.61
193.9.44.131,38841,443,true,LAX,North America,US,Los Angeles,280,2.57
212.103.62.244,19560,443,true,LAX,North America,US,Los Angeles,204,2.30
154.17.17.46,48946,443,true,LAX,North America,US,Los Angeles,150,2.30
2.59.151.128,33557,443,true,LAX,North America,US,Los Angeles,307,2.16
154.17.231.21,52894,443,true,LAX,North America,US,Los Angeles,143,2.12
154.201.73.177,10013,443,true,LAX,North America,US,Los Angeles,141,1.91
154.201.79.223,2333,443,true,LAX,North America,US,Los Angeles,168,1.90
154.21.90.176,42328,443,true,LAX,North America,US,Los Angeles,145,1.73
185.238.248.71,56918,443,true,LAX,North America,US,Los Angeles,283,1.69
154.21.90.176,56057,443,true,LAX,North America,US,Los Angeles,149,1.60
154.17.231.21,38282,443,true,LAX,North America,US,Los Angeles,150,1.48
129.146.46.164,443,443,true,LAX,North America,US,Los Angeles,234,1.40
185.238.248.47,11876,443,true,LAX,North America,US,Los Angeles,289,1.37
154.17.224.71,51447,443,true,LAX,North America,US,Los Angeles,139,1.31
132.226.227.121,443,443,true,LAX,North America,US,Los Angeles,235,1.15
185.238.248.47,55441,443,true,LAX,North America,US,Los Angeles,287,1.08
91.149.239.206,443,443,true,LAX,North America,US,Los Angeles,210,0.98
154.23.207.135,21714,2082,false,LAX,North America,US,Los Angeles,198,0.97
154.201.78.7,23588,443,true,LAX,North America,US,Los Angeles,168,0.94
154.23.247.116,443,443,true,LAX,North America,US,Los Angeles,190,0.79
154.201.78.7,35578,443,true,LAX,North America,US,Los Angeles,169,0.76
154.23.240.232,443,443,true,LAX,North America,US,Los Angeles,174,0.72
72.13.122.137,443,443,true,LAX,North America,US,Los Angeles,198,0.67
38.60.109.124,52782,443,true,LAX,North America,US,Los Angeles,195,0.54
154.21.91.175,587,443,true,LAX,North America,US,Los Angeles,155,0.50
154.201.78.7,33889,443,true,LAX,North America,US,Los Angeles,178,0.42
38.47.239.93,21196,443,true,LAX,North America,US,Los Angeles,168,0.23
216.38.168.34,16384,443,true,LAX,North America,US,Los Angeles,262,0.15
23.166.168.67,13118,443,true,LAX,North America,US,Los Angeles,170,0.10
23.225.195.46,14369,443,true,LAX,North America,US,Los Angeles,166,0.08
154.17.237.56,26749,443,true,LAX,North America,US,Los Angeles,139,0.05
154.17.9.35,882,443,true,LAX,North America,US,Los Angeles,151,0.03
165.154.36.49,34237,2096,true,LAX,North America,US,Los Angeles,200,0.00
166.0.188.128,57183,443,true,LAX,North America,US,Los Angeles,140,0.00
